Organization Name,Industries,Food and Restaurant Dummy,High Tech Dummy,Headquarters Regions,Founded Date,Founded Year,Founders,Number of Investors,Patents Granted,Trademarks Registered,Total Funding Amount,Number of Funding Rounds,Closed Dummy,Number of Events,Number of Articles,Diversity Spotlight Dummy,Page Views / Visit,Announced Date,Headquarters Location,Close Date,Organization Name.1,America Dummy,Asia Dummy,Middle East Dummy,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic school entrepreneurial education and training,Post school entrepreneurial education and training,R&D transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Founders_Cleaned,Repeat_Founder
Transpose,"Database, Internet, Software",0,1,"Greater Seattle Area, West Coast, Western US",3/7/2015 0:00,2015,"Hussein Ahmed, Matt Goyer, Samah Gad, Skyler Johnson-Wagner",2,0,0,1500000,1,1,0,8,1,—,—,"Seattle, Washington, United States",11/2/2015 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Hussein Ahmed', 'Matt Goyer', 'Samah Gad', 'Skyler Johnson-Wagner']",0
MojiLab,"Creative Agency, Digital Signage, Printing",0,0,"Greater New York Area, East Coast, Northeastern US",3/9/2015 0:00,2015,John Doe,1,0,0,100000,1,1,0,0,0,—,—,"New York, New York, United States",10/4/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['John Doe'],0
Videoo,"Apps, Communities, Video",0,0,"Greater Miami Area, East Coast, Southern US",3/10/2015 0:00,2015,"Barry Stamos, Heidi Finn Roberts, Joshua Stedman, Rob DeMillo",11,0,0,2167000,2,1,0,5,1,1.98,—,"Miami, Florida, United States",2017,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Barry Stamos', 'Heidi Finn Roberts', 'Joshua Stedman', 'Rob DeMillo']",0
WageSpot,"Information Services, Information Technology, Mobile",0,0,"Greater Los Angeles Area, West Coast, Western US",3/12/2015 0:00,2015,"Anatoly Vaisman, Marat Galperin, Raphael Morozov",2,0,0,25000,1,1,0,0,0,—,—,"Woodland Hills, California, United States",12/26/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Anatoly Vaisman', 'Marat Galperin', 'Raphael Morozov']",0
Adavow,"Advertising, Advertising Platforms, Digital Media, E-Commerce, Internet, Software, Video",0,1,"Europe, Middle East, and Africa (EMEA)",3/13/2015 0:00,2015,"Chistina Mulhall-Brown, David Brown",1,0,0,"£53,000",1,1,0,2,0,—,—,"Royal Tunbridge Wells, Kent, United Kingdom",2/1/2018 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,"['Chistina Mulhall-Brown', 'David Brown']",0
LadderChat,Cloud Computing,0,1,"Asia-Pacific (APAC), Australasia",3/15/2015 0:00,2015,Harvey Liu,1,0,0,100000,1,1,0,0,0,—,—,"Sydney, New South Wales, Australia",6/1/2018 0:00,Australia,0,0,0,3.17,3.73,4.2,4.22,3.72,4.22,3.68,5.1,4.83,4.68,6.4,4.77,['Harvey Liu'],0
Aevena,"Robotics, Sensor",0,1,"San Francisco Bay Area, Silicon Valley, West Coast",3/17/2015 0:00,2015,—,2,0,0,2500000,2,1,0,0,0,—,—,"San Carlos, California, United States",11/1/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,[],0
Fitcode,"E-Commerce, Fashion, Lifestyle, Retail, Retail Technology",0,1,"Greater Seattle Area, West Coast, Western US",3/18/2015 0:00,2015,"Brianna Cooley, Rian Goodwin",1,0,0,2550000,2,1,0,34,1,—,—,"Kirkland, Washington, United States",12/3/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Brianna Cooley', 'Rian Goodwin']",0
IgniteFeedback,"Analytics, Business Intelligence, CRM, Market Research",0,1,Western US,3/19/2015 0:00,2015,"Ben Werner, Eddie McDaniel",1,0,0,300000,1,1,0,0,0,—,—,"Bozeman, Montana, United States",12/17/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Ben Werner', 'Eddie McDaniel']",0
Carie Health,"Health Care, Information Technology, Mobile",0,1,"Greater New York Area, East Coast, Northeastern US",3/24/2015 0:00,2015,Matt Wanderer,1,0,0,7000000,1,1,0,1,0,2,—,"New York, New York, United States",3/2/2019 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Matt Wanderer'],0
Toured,"Big Data, Marketplace, Travel",0,1,"Asia-Pacific (APAC), Australasia",3/27/2015 0:00,2015,Jerry R. Reynolds,1,0,0,130963,2,1,0,0,0,—,—,"Maroochydore, Queensland, Australia",3/28/2020 0:00,Australia,0,0,0,3.17,3.73,4.2,4.22,3.72,4.22,3.68,5.1,4.83,4.68,6.4,4.77,['Jerry R. Reynolds'],0
MUMO,"Audio, Music, Music Streaming",0,0,"Greater Los Angeles Area, West Coast, Western US",3/28/2015 0:00,2015,"Jean-Marc Touch, Ryan Britt",2,1,0,1150000,3,1,0,1,0,—,—,"Los Angeles, California, United States",4/1/2021 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Jean-Marc Touch', 'Ryan Britt']",0
CharityCheckin,"Advertising, Internet, Mobile, Social Media, Social Media Marketing",0,1,"West Coast, Western US",4/3/2015 0:00,2015,"Charbel Elkhoury, Charles Ball, Chris King, Marsh Sutherland",1,0,0,35000,1,1,0,4,0,—,—,"Spokane, Washington, United States",7/3/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Charbel Elkhoury', 'Charles Ball', 'Chris King', 'Marsh Sutherland']",0
Ampogee,"Computer, Manufacturing, Productivity Tools, Software",0,1,"East Coast, Southern US",4/5/2015 0:00,2015,"Brian Lopatka, Jonathan Woahn",6,0,0,1100000,2,1,0,8,0,1,—,"Greensboro, North Carolina, United States",5/26/2021 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Brian Lopatka', 'Jonathan Woahn']",0
COMIVO INC.,"B2B, Chemical, Logistics, Marketplace, Supply Chain Management",0,1,"San Francisco Bay Area, Silicon Valley, West Coast",4/8/2015 0:00,2015,Kwon Sit,1,0,1,1000000,1,1,0,0,0,—,—,"Sunnyvale, California, United States",3/1/2019 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Kwon Sit'],0
Zappka,"iOS, Location Based Services, Mobile, Mobile Apps, Social, Social Network",0,0,Asia-Pacific (APAC),4/11/2015 0:00,2015,"Arvind Pal Singh, Rajan Gupta",2,0,0,100000,1,1,0,0,0,—,—,"Gurgaon, Haryana, India",8/1/2019 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Arvind Pal Singh', 'Rajan Gupta']",0
Zhuanjiabao,"Consulting, Law Enforcement, Legal",0,0,Asia-Pacific (APAC),4/13/2015 0:00,2015,Yupei Yang,3,0,0,"CN¥12,300,000",2,1,0,0,0,—,—,"Chongqing Shi, Chongqing, China",8/1/2019 0:00,China,0,1,0,3.6,5.92,4.47,4.38,2.73,5.08,4.12,4.38,7.25,4.23,6.93,4.97,['Yupei Yang'],0
Aerotronic,"Artificial Intelligence (AI), Computer, Drones, Logistics, Software",0,1,"Great Lakes, Midwestern US",4/14/2015 0:00,2015,"Chris Chance, Neerav Shah",2,0,1,170000,2,1,0,0,0,—,—,"Indianapolis, Indiana, United States",11/5/2022 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Chris Chance', 'Neerav Shah']",0
Bloomojo,"Alternative Medicine, Health Care, Information Technology, Mobile",0,1,"Greater New York Area, East Coast, Northeastern US",4/15/2015 0:00,2015,Victoria Saucier,1,0,0,250000,1,1,0,1,1,—,—,"New York, New York, United States",1/7/2022 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Victoria Saucier'],0
Runator,"Fitness, Wellness",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",4/16/2015 0:00,2015,"Bruno Munoz, Ester Villanueva",2,0,0,799015,3,1,0,0,0,—,—,"Madrid, Madrid, Spain",9/10/2019 0:00,Spain,0,0,0,3.87,4.08,3.87,4.82,3.48,4.3,3.93,4.47,4.47,4.3,5.1,4.38,"['Bruno Munoz', 'Ester Villanueva']",0
"Healthiest, Inc.","E-Commerce, Health Care, Information Technology, Wellness",0,1,"San Francisco Bay Area, West Coast, Western US",4/18/2015 0:00,2015,"Crystal Brown, Drew Chontow",3,0,1,360000,2,1,1,18,1,—,—,"San Francisco, California, United States",4/2/2024 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Crystal Brown', 'Drew Chontow']",0
Fans Nation,"Mobile Apps, Sports",0,0,"Europe, Middle East, and Africa (EMEA)",4/25/2015 0:00,2015,Cyril De Bavier,1,0,0,"CHF500,000",1,1,0,0,0,—,—,"Geneva, Geneve, Switzerland",2017,Switzerland,0,0,0,4.68,5.73,5.82,5.98,4.93,6.18,6.22,6.2,4.5,5.63,7.72,5.87,['Cyril De Bavier'],0
madai italia srl,"Digital Marketing, E-Commerce",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",4/26/2015 0:00,2015,Stefano Ivan Aldrovandi,1,0,0,750000,1,1,0,3,0,—,—,"Pescara, Abruzzi, Italy",7/1/2017 0:00,Italy,0,0,0,5.12,3.22,2.53,3.37,2.95,4.23,3.97,4.28,4.33,4.1,5.07,3.6,['Stefano Ivan Aldrovandi'],0
IperLane,"Analytics, Cyber Security, Mobile, Security, Software",0,1,"Greater New York Area, East Coast, Northeastern US",4/27/2015 0:00,2015,"Kelly Shortridge, Vincenzo Iozzo",1,0,0,2000000,1,1,0,0,1,—,—,"New York, New York, United States",8/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Kelly Shortridge', 'Vincenzo Iozzo']",0
MyGymPals,"Fitness, Personal Health, Social Media, Social Network, Wellness",0,0,"Greater Los Angeles Area, West Coast, Western US",4/29/2015 0:00,2015,"Muris Mulalic, Wan Song",1,0,0,250000,1,1,1,0,0,—,—,"Los Angeles, California, United States",12/28/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Muris Mulalic', 'Wan Song']",0
DivorceSecure,"Consulting, Internet, Legal, SaaS",0,1,Southern US,4/30/2015 0:00,2015,"Hirsch Serman, Noam Davidovics",1,0,0,25000,1,1,0,6,0,—,—,"Memphis, Tennessee, United States",2/1/2019 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Hirsch Serman', 'Noam Davidovics']",0
Lexumo,"Cloud Security, Cyber Security, Enterprise Software, Security, Software",0,1,"Greater Boston Area, East Coast, New England",5/2/2015 0:00,2015,"Brad Gaynor, Nathan Shnidman, Richard Carback",4,0,0,4890000,2,1,0,3,0,1,—,"Cambridge, Massachusetts, United States",6/28/2019 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Brad Gaynor', 'Nathan Shnidman', 'Richard Carback']",0
FitTube,"File Sharing, Fitness, Health Care, Messaging, Mobile, Video Streaming",0,1,"Great Lakes, Midwestern US",5/3/2015 0:00,2015,"Abid Abidi, Francisco Saravia, Ryan Shaw",1,0,1,20000,2,1,0,1,0,—,—,"Springfield, Illinois, United States",2020,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Abid Abidi', 'Francisco Saravia', 'Ryan Shaw']",0
The Level Market,"Crowdfunding, E-Commerce, E-Commerce Platforms, Humanitarian",0,1,"Greater Denver Area, Western US",5/4/2015 0:00,2015,"Faseeha Khan-Jensen, Stephanie Cox",1,0,0,325000,1,1,0,0,1,—,—,"Golden, Colorado, United States",2020,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Faseeha Khan-Jensen', 'Stephanie Cox']",0
onstream,"Computer, Information Technology, Software",0,1,Western US,5/6/2015 0:00,2015,Craig Macy,1,0,0,2000000,1,1,1,10,0,1.81,—,"Reno, Nevada, United States",12/23/2020 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Craig Macy'],0
Momunt,"Apps, Location Based Services, Photo Sharing, Photography, Software",0,1,"San Francisco Bay Area, West Coast, Western US",5/7/2015 0:00,2015,"Masha Belyi, Ryan Sheffer",3,0,0,1023980,2,1,1,2,1,—,—,"San Francisco, California, United States",10/31/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Masha Belyi', 'Ryan Sheffer']",0
NHR,"Financial Services, Information Technology, Software",0,1,"Greater Miami Area, East Coast, Southern US",5/8/2015 0:00,2015,"Josh Conklin, Zain Hasan, CSFS",2,0,0,1480000,2,1,0,3,0,—,—,"Fort Lauderdale, Florida, United States",2020,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Josh Conklin', 'Zain Hasan', 'CSFS']",0
Fensens,"Hardware, Internet of Things, Mobile, SaaS, Software",0,1,"San Francisco Bay Area, West Coast, Western US",5/11/2015 0:00,2015,"Andy Karuza, Dan Luong, Henry Wong, Mohammad Juma",4,0,0,4450000,2,1,2,3,0,—,—,"San Francisco, California, United States",7/3/2021 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Andy Karuza', 'Dan Luong', 'Henry Wong', 'Mohammad Juma']",0
Othera,"Financial Exchanges, Financial Services, FinTech",0,1,"Europe, Middle East, and Africa (EMEA)",5/13/2015 0:00,2015,John Pellew,2,0,6,5000000,3,1,0,16,0,1,—,"London, England, United Kingdom",7/6/2021 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,['John Pellew'],0
The Herbalista Set,"Beauty, Health Care",0,1,"Greater Denver Area, Western US",5/15/2015 0:00,2015,Damien Williams,1,0,0,20000,1,1,0,0,0,—,—,"Denver, Colorado, United States",12/1/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Damien Williams'],0
Banked,"Analytics, Mobile, Payments",0,1,"Europe, Middle East, and Africa (EMEA)",5/19/2015 0:00,2015,"Graeme Kilkenny, James King",2,1,0,675000,1,1,0,6,0,—,—,"London, England, United Kingdom",2017,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,"['Graeme Kilkenny', 'James King']",0
BigDeal,"Apps, E-Commerce, Mobile",0,0,Asia-Pacific (APAC),5/21/2015 0:00,2015,"Aashish Singh, Abhijeet Singh, Chennakeshav Adya",1,0,0,400000,1,1,0,0,0,—,—,"New Delhi, Delhi, India",2016,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Aashish Singh', 'Abhijeet Singh', 'Chennakeshav Adya']",0
Mixvisor,"Analytics, Digital Media, Music, Software",0,1,"Asia-Pacific (APAC), Australasia",5/22/2015 0:00,2015,"Giles Butler, Nicholas Slattery",1,0,0,54444,2,1,0,1,0,—,—,"Sydney, New South Wales, Australia",2/9/2017 0:00,Australia,0,0,0,3.17,3.73,4.2,4.22,3.72,4.22,3.68,5.1,4.83,4.68,6.4,4.77,"['Giles Butler', 'Nicholas Slattery']",0
Ncrease,"Analytics, Big Data, Predictive Analytics, SaaS, Social Media",0,1,"Washington DC Metro Area, Southern US",5/23/2015 0:00,2015,"Aaron Fitzgerald, Kelly Schricker, Laney Mills, Morgan McCullough",1,0,0,25000,1,1,0,3,1,—,—,"Washington, District of Columbia, United States",6/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Aaron Fitzgerald', 'Kelly Schricker', 'Laney Mills', 'Morgan McCullough']",0
TitanGrid,"Computer, Cyber Security, Network Security",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",5/25/2015 0:00,2015,"Aleks Koha, Leonardo Romanello",1,0,0,"£15,000",1,1,0,4,0,—,—,"Tallinn, Harjumaa, Estonia",2/1/2019 0:00,Estonia,0,0,0,3.57,3.88,4.97,4.88,4.27,4.85,4.53,5.18,5.33,5.1,7.32,5.75,"['Aleks Koha', 'Leonardo Romanello']",0
InnerChef,"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",1,0,Asia-Pacific (APAC),5/26/2015 0:00,2015,"Bal DiGhent, Rajesh Sawhney, Sanjeev Singhal",26,0,0,15482690,7,1,1,6,0,—,—,"Gurgaon, Haryana, India",1/1/2020 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Bal DiGhent', 'Rajesh Sawhney', 'Sanjeev Singhal']",0
MYLOMA GmbH,"E-Commerce, Local, Location Based Services, Marketplace, SaaS, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",5/31/2015 0:00,2015,"Antoine Henrich, Clemens Dall, Dario Blaul, Maximilian Schulz",1,0,0,275000,2,1,0,0,0,—,—,"Wiesbaden, Hessen, Germany",4/10/2024 0:00,Germany,0,0,0,4.32,4.23,3.9,5.62,2.75,4.15,3.97,5.88,4.48,5.08,6.35,4.22,"['Antoine Henrich', 'Clemens Dall', 'Dario Blaul', 'Maximilian Schulz']",0
Matricore,"Biotechnology, Health Care, Medical",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/1/2015 0:00,2015,"Ernst-Jan Bos, Freek Geurts",2,0,0,15000,1,1,1,1,0,—,—,"Geleen, Limburg, The Netherlands",7/1/2019 0:00,Netherlands,0,0,0,4.27,5.38,5.78,5.83,4.93,5.65,5.22,5.88,4.92,6.08,7.35,5.8,"['Ernst-Jan Bos', 'Freek Geurts']",0
"TableFLIX, Inc.","Advertising, Data Collection and Labeling, Digital Signage, Hospitality, Restaurants, Video",1,0,"Greater Los Angeles Area, West Coast, Western US",6/3/2015 0:00,2015,Rik D. Middleton,2,0,0,10000,1,1,0,0,0,—,—,"Glendale, California, United States",3/24/2020 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Rik D. Middleton'],0
Huimei,"IT Management, Professional Services",0,0,Asia-Pacific (APAC),6/6/2015 0:00,2015,"Bin Yu, Xiaoming Tan",1,0,0,"CN¥3,000,000",1,1,0,2,0,—,—,"Daxing, Beijing, China",6/1/2019 0:00,China,0,1,0,3.6,5.92,4.47,4.38,2.73,5.08,4.12,4.38,7.25,4.23,6.93,4.97,"['Bin Yu', 'Xiaoming Tan']",0
OB1,"Bitcoin, Cryptocurrency, E-Commerce, Marketplace, Trading Platform",0,1,"Washington DC Metro Area, East Coast, Southern US",6/7/2015 0:00,2015,"Brian Hoffman, Samuel Patterson, Washington Sanchez",7,0,0,9000000,3,1,0,15,0,—,—,"Fairfax, Virginia, United States",8/31/2021 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Brian Hoffman', 'Samuel Patterson', 'Washington Sanchez']",0
TinyRx,"Health Care, Mobile",0,1,"San Francisco Bay Area, West Coast, Western US",6/10/2015 0:00,2015,"Andrew Lockhart, Christopher Bockman",11,0,0,7700000,2,1,0,2,0,—,—,"San Francisco, California, United States",5/1/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Andrew Lockhart', 'Christopher Bockman']",0
"Arogi, Inc.","Analytics, Artificial Intelligence (AI), Geospatial, Software",0,1,"West Coast, Western US",6/12/2015 0:00,2015,"Alan Glennon, Antonio Medrano",1,0,0,149905,1,1,0,0,0,—,—,"Goleta, California, United States",1/26/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Alan Glennon', 'Antonio Medrano']",0
Tesloop,"Automotive, Autonomous Vehicles, Transportation",0,0,"Greater Los Angeles Area, West Coast, Western US",6/13/2015 0:00,2015,"HAYDN HAYDN, Rahul Sonnad",5,0,1,2165656,5,1,1,11,0,—,—,"Playa Vista, California, United States",4/3/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['HAYDN HAYDN', 'Rahul Sonnad']",0
Enjoyney,"Event Management, Events, Location Based Services, Social Media, Social Network, Tourism, Travel",0,0,"San Francisco Bay Area, Silicon Valley, West Coast",6/16/2015 0:00,2015,Bill Porter,1,0,0,799998,1,1,0,0,0,—,—,"Santa Clara, California, United States",12/29/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Bill Porter'],0
EarnAway,"Internet, Travel",0,0,"Europe, Middle East, and Africa (EMEA)",6/18/2015 0:00,2015,"Joshua James, Robert Berrisford",1,0,0,"£1,000,000",1,1,0,0,0,—,—,"London, England, United Kingdom",2/13/2018 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,"['Joshua James', 'Robert Berrisford']",0
Aerial Insights,"Artificial Intelligence (AI), Asset Management, Drones, Sensor, Software, Training",0,1,Midwestern US,6/19/2015 0:00,2015,"Alexander John, Harrison Knoll",1,0,0,800000,1,1,0,0,0,—,—,"St Louis, Missouri, United States",9/5/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Alexander John', 'Harrison Knoll']",0
Magnet Technologies,"Developer APIs, Developer Tools, Web Development",0,0,"San Francisco Bay Area, West Coast, Western US",6/20/2015 0:00,2015,"Hank Horkoff, Mike Narodovich, Sa Sa, T.R. Harrington",1,0,0,150000,1,1,0,0,1,—,—,"Walnut Creek, California, United States",2019,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Hank Horkoff', 'Mike Narodovich', 'Sa Sa', 'T.R. Harrington']",0
LumoXchange,"Finance, Financial Services, Marketplace",0,1,Southern US,6/22/2015 0:00,2015,"Maf Sonko, Mamour Dioum",2,0,5,550000,3,1,0,2,0,1,—,"Little Rock, Arkansas, United States",2020,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Maf Sonko', 'Mamour Dioum']",0
WorldCover,"Financial Services, FinTech, Impact Investing, Insurance, Social Entrepreneurship",0,1,"Greater New York Area, East Coast, Northeastern US",6/23/2015 0:00,2015,"Christopher Sheehan, Shiliang Tang",12,0,0,6050000,7,1,1,1,0,2,—,"New York, New York, United States",4/12/2021 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Christopher Sheehan', 'Shiliang Tang']",0
Sproose,"Home Services, Residential",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/25/2015 0:00,2015,Pat Mc Kenna,1,0,0,135000,2,1,0,0,0,—,—,"Dublin, Dublin, Ireland",2/4/2022 0:00,Ireland,0,0,0,3.33,5.02,4.82,5.93,3.67,4.97,4.7,6.1,3.85,5.18,6.77,5.47,['Pat Mc Kenna'],0
Ment.io,"Analytics, Collaboration, Information Technology",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",6/26/2015 0:00,2015,"Dror Ben Eliezer, Joab Rosenberg, Shlomo Kraus, Tzvika Katzenelson",5,1,0,6000000,3,1,0,0,0,1,—,"Tel Aviv, Tel Aviv, Israel",2023,Israel,0,0,1,5.37,3.68,2.8,4,3.05,4.32,4.5,5.55,4,3.57,6.37,7.33,"['Dror Ben Eliezer', 'Joab Rosenberg', 'Shlomo Kraus', 'Tzvika Katzenelson']",0
datapath.io,"Cloud Data Services, Hardware, IaaS, Internet, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",6/27/2015 0:00,2015,"Sascha Coldewey, Sebastian Spies",3,0,0,1218968,2,1,4,1,0,—,—,"Mainz, Rheinland-Pfalz, Germany",11/28/2023 0:00,Germany,0,0,0,4.32,4.23,3.9,5.62,2.75,4.15,3.97,5.88,4.48,5.08,6.35,4.22,"['Sascha Coldewey', 'Sebastian Spies']",0
WaterBit,"Agriculture, AgTech, Robotics, Software",0,1,"San Francisco Bay Area, Silicon Valley, West Coast",6/28/2015 0:00,2015,"Leif Chastaine, Manu Pillai",6,0,0,11624880,3,1,0,3,0,—,—,"San Jose, California, United States",4/2/2024 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Leif Chastaine', 'Manu Pillai']",0
Feather,"Elder Care, SaaS, Software",0,1,Southern US,6/29/2015 0:00,2015,"Christopher Williams, Evan Black, Nicholas Fuller, Rachel Fuller",2,0,0,275000,2,1,0,1,1,1,—,"Fayetteville, Arkansas, United States",2019,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Christopher Williams', 'Evan Black', 'Nicholas Fuller', 'Rachel Fuller']",0
Jumptastic,"Gaming, Network Security, Sports",0,0,"Europe, Middle East, and Africa (EMEA)",7/2/2015 0:00,2015,Lee Myall,1,0,0,"£3,000,000",1,1,0,0,0,—,—,"Gloucester, Gloucestershire, United Kingdom",7/16/2019 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,['Lee Myall'],0
Yen,"FinTech, Mobile Apps, Mobile Payments, Payments",0,1,"Europe, Middle East, and Africa (EMEA)",7/4/2015 0:00,2015,"Henri Cammiade, Jae Woong Ryoo",1,0,0,"£28,000",1,1,0,0,0,—,—,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",9/6/2016 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,"['Henri Cammiade', 'Jae Woong Ryoo']",0
Everwaters,"Consumer Electronics, Smart Home, Water",0,1,"San Francisco Bay Area, West Coast, Western US",7/7/2015 0:00,2015,Adrian Lievano,2,0,0,560000,3,1,0,3,0,—,—,"San Francisco, California, United States",1/1/2019 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Adrian Lievano'],0
